"cluster_id","kind","mode","n_studies","agent_id_resolved","canonical_name","n_members","n_members_resolved","n_named_diseases","n_named_compounds","n_distinct_ids","distinct_id_sample","is_minestrone"
"group_L3_e85de5e7","small_molecule","group",2,"CHEBI:5078","flavonol",12,12,0,4,4,"CHEBI:47344|CHEBI:51450|CHEBI:90620|STR:cediranib",TRUE
"group_L3_e8b92125","pathogen_or_aggregate_exposure","group",2,"MeSH:D015497","HIV-1",2,2,0,0,0,"",FALSE
"group_L3_e9546ce0","disease_vs_normal","group",4,"UNK",NA,12,12,2,0,2,"STR:down_syndrome|STR:mesial_temporal_lobe_epilepsy",TRUE
"group_L3_e96b9258","small_molecule","group",2,"CHEBI:28748","doxorubicin",19,19,0,0,0,"",FALSE
"group_L3_e97cf1aa","small_molecule","group",2,"CHEBI:28077","rifampicin",64,64,0,1,1,"STR:rifampicine_drug",FALSE
"group_L3_e984f119","small_molecule","group",2,"CHEBI:133681","4-ethylphenyl sulfate(1−)",3,3,0,2,2,"STR:100ng_ml_tweak|STR:tweak_100ng_ml_stimulated",TRUE
"group_L3_e998346f","disease_vs_normal","group",4,"UNK",NA,12,12,2,0,2,"STR:breast_cancer_cells|STR:epithelial_breast_cancer_cell_line_derived_from_metasatic_pleural_effusion",TRUE
"group_L3_e9add126","small_molecule","group",2,"UNK",NA,4,4,0,2,2,"CHEBI:144671|CHEBI:27789",TRUE
"group_L3_e9b9b9bc","pathogen_or_aggregate_exposure","group",3,"UNK",NA,24,24,0,2,2,"STR:ama1|STR:csp",TRUE
"group_L3_e9e93d63","disease_vs_normal","group",2,"UNK",NA,21,21,1,0,1,"STR:diabetic",FALSE
"group_L3_e9fb2b4e","disease_vs_normal","group",2,"MeSH:D014947","Wounds and Injuries",6,6,0,0,0,"",FALSE
"group_L3_ea0fd832","small_molecule","group",2,"CHEBI:17135","long-chain fatty alcohol",3,3,0,1,1,"STR:e2",FALSE
"group_L3_ea106069","small_molecule","group",2,"CHEBI:134207","methylcytosine",7,7,0,7,7,"CHEBI:135515|CHEBI:145365|CHEBI:231355|CHEBI:231651|CHEBI:65326",TRUE
"group_L3_eac7b64a","pathogen_or_aggregate_exposure","group",5,"UNK",NA,24,24,0,4,4,"STR:hbv_hdv_co_infection|STR:hbv_infected_ayw|STR:hbv_mono_infection|STR:hdv_mono_infection",TRUE
"group_L3_ead8107f","disease_vs_normal","group",10,"UNK",NA,170,170,6,0,6,"STR:eosinophilic_chronic_rhinosinusitis_ecrs|STR:metastatic_nasopharyngeal_carcinoma_patient_sample|STR:nasopharyngeal_carcinoma|STR:nasopharyngeal_carcinoma_biopsy|STR:nasopharyngeal_carcinoma_tissue",TRUE
"group_L3_eadbdcd4","small_molecule","group",2,"UNK",NA,5,5,0,1,1,"STR:treated_with_sr3335_for_24_hours",FALSE
